LCLID,timestamp,year,energy
MAC000002,1/7/2014 4:30:00 AM,2014,0.088
MAC000002,1/7/2014 5:00:00 AM,2014,0.128
MAC000002,1/7/2014 5:30:00 AM,2014,0.073
MAC000002,1/7/2014 6:00:00 AM,2014,0.127
MAC000002,1/7/2014 6:30:00 AM,2014,0.087
MAC000002,1/7/2014 7:00:00 AM,2014,0.11
MAC000002,1/7/2014 7:30:00 AM,2014,0.104
MAC000002,1/7/2014 8:00:00 AM,2014,0.092
MAC000002,1/7/2014 8:30:00 AM,2014,0.121
MAC000002,1/7/2014 9:00:00 AM,2014,0.074
MAC000002,1/7/2014 9:30:00 AM,2014,0.166
MAC000002,1/7/2014 10:00:00 AM,2014,0.542
MAC000002,1/7/2014 10:30:00 AM,2014,0.4
MAC000002,1/7/2014 11:00:00 AM,2014,0.41
MAC000002,1/7/2014 11:30:00 AM,2014,0.437
MAC000002,1/7/2014 12:00:00 PM,2014,0.495
MAC000002,1/7/2014 12:30:00 PM,2014,0.735
MAC000002,1/7/2014 1:00:00 PM,2014,0.78
MAC000002,1/7/2014 1:30:00 PM,2014,0.364
MAC000002,1/7/2014 2:00:00 PM,2014,0.218
MAC000002,1/7/2014 2:30:00 PM,2014,0.126
MAC000002,1/7/2014 3:00:00 PM,2014,0.084
MAC000002,1/7/2014 3:30:00 PM,2014,0.155
MAC000002,1/7/2014 4:00:00 PM,2014,0.263
MAC000002,1/7/2014 4:30:00 PM,2014,0.358
MAC000002,1/7/2014 5:00:00 PM,2014,0.336
MAC000002,1/7/2014 5:30:00 PM,2014,0.266
MAC000002,1/7/2014 6:00:00 PM,2014,0.406
MAC000002,1/7/2014 6:30:00 PM,2014,0.45
MAC000002,1/7/2014 7:00:00 PM,2014,0.42
MAC000002,1/7/2014 7:30:00 PM,2014,0.967
MAC000002,1/7/2014 8:00:00 PM,2014,0.719
MAC000002,1/7/2014 8:30:00 PM,2014,0.814
MAC000002,1/7/2014 9:00:00 PM,2014,0.807
MAC000002,1/7/2014 9:30:00 PM,2014,0.761
MAC000002,1/7/2014 10:00:00 PM,2014,0.629
MAC000002,1/7/2014 10:30:00 PM,2014,0.551
MAC000002,1/7/2014 11:00:00 PM,2014,0.468
MAC000002,1/7/2014 11:30:00 PM,2014,0.494
MAC000002,1/8/2014 12:00:00 AM,2014,0.434
MAC000002,1/8/2014 12:30:00 AM,2014,0.46
MAC000002,1/8/2014 1:00:00 AM,2014,0.439
MAC000002,1/8/2014 1:30:00 AM,2014,0.415
MAC000002,1/8/2014 2:00:00 AM,2014,0.385
MAC000002,1/8/2014 2:30:00 AM,2014,0.101
